,leverage,period,min,max,median,5% percentile
0,1,week,0.9686998859042085,1.0347228126926047,1.0013085820312542,0.9871747868176799
1,1,month,0.9406188463754125,1.0673278852526729,1.0047552463724418,0.9759420685305544
2,1,year,0.8432333876636628,1.3213999968664711,1.060394375963018,0.9623736337014154
3,2,week,0.9380379350185623,1.0702088626962964,1.0024037850035972,0.974297414660814
4,2,month,0.8838987745142491,1.1380312646342887,1.00865595304841,0.9516274063421503
5,2,year,0.7039177845187565,1.7282146884917455,1.1130215962478558,0.916715633181301
6,3,week,0.9082989287369608,1.1068013399748295,1.0036158715326493,0.9616121226430434
7,3,month,0.8307363292860804,1.2135714443759624,1.0128529718774355,0.928077496302841
8,3,year,0.5894360595663127,2.266740117115816,1.1715576052741241,0.875786025076751
9,-2,week,0.9329847399368274,1.064701374153206,0.9969202196774796,0.9693532341076644
10,-2,month,0.8756493741535102,1.1276613438610716,0.9886193568493125,0.9322477520278177
11,-2,year,0.559115558402979,1.3742527243959237,0.8687736002004978,0.7101554618607695
12,-3,week,0.9008880099437623,1.0983689778214367,0.9953565438093741,0.9543231599447538
13,-3,month,0.8190801485143294,1.197143491895027,0.9828084643075102,0.8999148538740184
14,-3,year,0.4171498887378478,1.6082655870510376,0.8082395577760937,0.5974012215913518
